codigo,Auxílio-Moradia-2011,Auxílio-Moradia-2012,Auxílio-Moradia-2013,Auxílio-Moradia-2014,Auxílio-Moradia-2015,Escritório(s) de Apoio-2011,Escritório(s) de Apoio-2012,Escritório(s) de Apoio-2013,Escritório(s) de Apoio-2014,Escritório(s) de Apoio-2015,Gabinete-2011,Gabinete-2012,Gabinete-2013,Gabinete-2014,Gabinete-2015,Imóvel Funcional-2011,Imóvel Funcional-2012,Imóvel Funcional-2013,Imóvel Funcional-2014,Imóvel Funcional-2015,Participacao,TotalGabinete-2011,TotalGabinete-2012,TotalGabinete-2013,TotalGabinete-2014,TotalGabinete-2015,UF,email,gastos,gastos2011,gastos2012,gastos2013,gastos2014,gastos2015,nascimentoData,naturalMunicipio,nome,nomeCompleto,nomeSort,partido,sexo,status,urlFoto,urlPagina
5132,0,0,0,0,0.58,0,0,0,0,4,0,0,0,0,17,0,0,0,0,0.00,1º Suplente,0,0,0,0,21,SC,dalirio.beber@senador.leg.br,12264.02,0.00,0.00,0.00,0.00,12264.02,16/04/1949,4210605,Dalirio Beber,Dalírio José Beber,dalirio beber,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5132.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5132
16,0,0,0,0,0.00,0,0,0,0,9,0,0,0,0,35,0,0,0,0,0.00,Titular,0,0,0,0,44,MA,edison.lobao@senador.leg.br,29193.34,0.00,11464.96,0.00,0.00,17728.38,05/12/1936,2106706,Edison Lobão,Edison Lobão,edison lobao,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador16.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/16
4721,0,0,11,12,1.00,0,15,17,26,31,0,19,18,16,15,0,0,0,0,0.00,Titular,0,34,35,42,46,SE,eduardo.amorim@senador.leg.br,925024.78,159871.51,223606.44,319137.84,190507.45,31901.54,17/05/1963,2802908,Eduardo Amorim,Eduardo Alves do Amorim,eduardo amorim,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4721.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4721
4994,0,0,0,0,0.08,2,2,2,2,0,20,22,22,21,0,0,0,0,0,0.00,Titular,22,24,24,23,0,AM,eduardo.braga@senador.leg.br,987893.44,46028.50,358824.29,377163.69,205874.39,2.57,06/12/1960,1501402,Eduardo Braga,Carlos Eduardo de Souza Braga,eduardo braga,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4994
4767,0,0,11,3,0.00,0,28,29,0,0,0,14,16,0,0,0,0,0,0,0.00,1º Suplente,0,42,45,0,0,RJ,eduardo.lopes@senador.leg.br,700666.11,0.00,281401.53,361294.48,57970.10,0.00,19/09/1964,-1,Eduardo Lopes,Eduardo Benedito Lopes,eduardo lopes,PRB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4767.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4767
612,0,0,0,0,0.00,16,18,16,20,22,18,16,13,11,9,0,0,0,0,0.00,Titular,34,34,29,31,31,CE,eunicio.oliveira@senador.leg.br,8612.54,0.00,0.00,0.00,6437.81,2174.73,30/09/1952,2307502,Eunício Oliveira,Eunício Lopes de Oliveira,eunicio oliveira,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador612.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/612
3634,0,0,11,12,0.25,16,10,10,9,9,15,16,16,15,19,0,0,0,0,0.83,Titular,31,26,26,24,28,PA,flexa.ribeiro@senador.leg.br,1428969.75,315773.13,339899.41,304739.23,423428.89,45129.09,12/09/1945,1501402,Flexa Ribeiro,Fernando de Souza Flexa Ribeiro,flexa ribeiro,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3634.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3634
87,0,0,0,0,0.00,0,0,0,0,18,0,0,0,0,21,0,0,7,12,1.00,Titular,0,0,0,0,39,RN,garibaldi.alves@senador.leg.br,22647.13,0.00,0.00,0.00,0.00,22647.13,04/02/1947,2408102,Garibaldi Alves Filho,Garibaldi Alves Filho,garibaldi alves filho,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador87.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/87
5006,0,0,0,0,0.00,0,0,0,8,27,0,0,0,14,13,0,0,0,10,1.00,Titular,0,0,0,22,40,PR,gleisi@senadora.leg.br,341581.14,58997.27,0.00,0.00,249694.25,32889.62,06/09/1965,4106902,Gleisi Hoffmann,Gleisi Helena Hoffmann,gleisi hoffmann,PT,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5006.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5006
5008,0,0,0,0,0.00,14,17,17,16,17,14,14,15,16,17,0,0,7,12,1.00,Titular,28,31,32,32,34,PE,humberto.costa@senador.leg.br,1509280.43,263245.82,419807.99,367725.51,415282.10,43219.01,07/07/1957,3509502,Humberto Costa,Humberto Sérgio Costa Lima,humberto costa,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008
5100,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0.00,1º Suplente,0,0,0,0,79,DF,heliojose@senador.leg.br,20279.63,0.00,0.00,0.00,0.00,20279.63,09/03/1960,5205802,Hélio José,Hélio José da Silva Lima,helio jose,PROS,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5100.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5100
5004,0,0,0,0,0.00,51,30,40,34,47,16,19,17,12,17,0,0,7,9,1.00,Titular,67,49,57,46,64,RO,ivo.cassol@senador.leg.br,1355999.67,189601.66,416055.18,416062.85,297062.40,37217.58,20/01/1959,4204301,Ivo Cassol,Ivo Narciso Cassol,ivo cassol,PP,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5004.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5004
35,0,0,0,0,0.00,0,5,10,11,13,0,9,11,11,10,0,0,7,12,1.00,Titular,0,14,21,22,23,PA,jader.barbalho@senador.leg.br,1193278.31,0.00,290743.00,485114.40,397320.60,20100.31,27/10/1944,1501402,Jader Barbalho,Jader Fontenelle Barbalho,jader barbalho,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/35
4990,0,0,0,0,0.00,15,14,15,14,16,14,13,12,10,9,0,0,7,12,1.00,Titular,29,27,27,24,25,AC,jorge.viana@senador.leg.br,1300204.25,210447.16,323756.53,359469.06,369121.10,37410.40,20/09/1959,1200401,Jorge Viana,Jorge Ney Viana Macedo Neves,jorge viana,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4990.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4990
40,0,0,11,12,1.00,19,20,19,18,23,17,20,24,21,19,0,0,0,0,0.00,Titular,36,40,43,39,42,RN,jose.agripino@senador.leg.br,1157809.07,224584.84,295556.26,276719.31,332091.27,28857.39,23/05/1945,2408003,José Agripino,José Agripino Maia,jose agripino,DEM,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador40.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/40
5112,0,0,0,0,0.00,0,0,0,0,14,0,0,0,0,19,0,0,0,0,0.83,1º Suplente,0,0,0,0,33,MT,josemedeiros@senador.leg.br,37204.95,0.00,0.00,0.00,0.00,37204.95,19/03/1970,2402006,José Medeiros,José Antônio Medeiros,jose medeiros,PODE,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5112.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5112
615,0,0,0,0,0.00,19,19,21,21,22,11,10,11,11,9,0,0,7,12,1.00,Titular,30,29,32,32,31,CE,jose.pimentel@senador.leg.br,1644919.30,230939.77,415677.21,453189.51,496180.41,48932.40,16/10/1953,2208007,José Pimentel,José Barroso Pimentel,jose pimentel,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador615.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/615
950,0,0,0,0,0.00,0,23,22,25,27,0,39,39,39,47,0,0,7,12,1.00,Titular,0,62,61,64,74,MA,joao.alberto.souza@senador.leg.br,1112945.01,236818.05,68560.43,435840.60,344031.26,27694.67,01/10/1935,2111706,João Alberto Souza,João Alberto de Souza,joao alberto souza,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador950.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/950
3394,0,0,0,0,0.00,0,36,35,33,40,16,18,20,22,19,0,0,7,12,1.00,Titular,16,54,55,55,59,AP,joao.capiberibe@senador.leg.br,1448920.22,32918.21,453075.99,500183.63,416896.11,45846.28,06/05/1947,1500305,João Capiberibe,João Alberto Rodrigues Capiberibe,joao capiberibe,PSB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3394.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3394
3695,0,0,11,12,1.00,20,19,21,14,15,12,10,13,14,16,0,0,0,0,0.00,Titular,32,29,34,28,31,RJ,lindbergh.farias@senador.leg.br,1390833.68,248400.46,374288.81,377109.59,355902.50,35132.32,08/12/1969,2507507,Lindbergh Farias,Luiz Lindbergh Farias Filho,lindbergh farias,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3695.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3695
4575,0,0,0,0,0.00,29,27,29,28,28,18,18,24,22,24,0,0,7,12,1.00,Titular,47,45,53,50,52,BA,lidice.mata@senadora.leg.br,1449249.58,265539.98,397456.48,406938.55,339808.50,39506.07,12/03/1956,2904902,Lídice da Mata,Lídice da Mata e Souza,lidice da mata,PSB,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4575.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4575
643,0,0,0,0,0.00,10,14,10,9,6,21,19,17,20,19,0,0,7,12,1.00,Titular,31,33,27,29,25,GO,lucia.vania@senadora.leg.br,1031870.11,201155.93,252542.40,253052.74,302029.70,23089.34,15/10/1944,5206602,Lúcia Vânia,Lúcia Vânia Abrão,lucia vania,PSB,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador643.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/643
631,0,0,11,12,1.00,27,27,26,31,30,12,15,15,15,18,0,0,0,0,0.00,Titular,39,42,41,46,48,ES,magno.malta@senador.leg.br,1350379.01,175535.41,325746.43,397705.30,412519.49,38872.38,16/10/1957,2919702,Magno Malta,Magno Pereira Malta,magno malta,PR,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador631.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/631
5000,0,0,0,0,0.00,5,0,0,0,10,18,4,1,22,18,0,0,0,1,1.00,Titular,23,4,1,22,28,SP,marta.suplicy@senadora.leg.br,332143.43,115109.50,188763.75,0.00,9530.41,18739.77,18/03/1945,3550308,Marta Suplicy,Marta Teresa Suplicy,marta suplicy,MDB,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5000.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5000
3741,0,0,0,0,0.00,12,10,10,12,15,13,10,12,12,12,0,0,7,12,1.00,Titular,25,20,22,24,27,SC,paulo.bauer@senador.leg.br,1290932.06,239432.23,395421.49,305658.67,309696.45,40723.22,20/03/1957,4202404,Paulo Bauer,Paulo Roberto Bauer,paulo bauer,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3741.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3741
825,0,0,11,12,1.00,18,17,16,15,14,20,21,19,18,18,0,0,0,0,0.00,Titular,38,38,35,33,32,RS,paulopaim@senador.leg.br,1476741.61,313295.05,392420.82,360963.42,383036.74,27025.58,15/03/1950,4305108,Paulo Paim,Paulo Renato Paim,paulo paim,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/825
5116,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1º Suplente,0,0,0,0,0,MS,pedrochaves@senador.leg.br,0.00,0.00,0.00,0.00,0.00,0.00,07/12/1940,5002704,Pedro Chaves,Pedro Chaves dos Santos Filho,pedro chaves,PRB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5116.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5116
2207,0,0,0,0,0.00,0,0,0,0,15,0,0,0,48,11,0,0,0,0,0.00,1º Suplente,0,0,0,48,26,PB,raimundo.lira@senador.leg.br,12192.13,0.00,0.00,0.00,0.00,12192.13,16/12/1943,2503704,Raimundo Lira,Raimundo Lira,raimundo lira,PSD,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador2207.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/2207
5012,0,0,1,0,0.00,32,22,22,21,22,14,13,11,12,15,0,0,7,12,1.00,Titular,46,35,33,33,37,AP,randolfe.rodrigues@senador.leg.br,1496878.85,277614.95,384370.76,368831.40,422031.19,44030.55,06/11/1972,2606002,Randolfe Rodrigues,Randolph Frederich Rodrigues Alves,randolfe rodrigues,REDE,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012
5182,0,0,0,0,0.92,0,0,0,0,10,0,0,0,0,19,0,0,0,0,0.00,1º Suplente,0,0,0,0,29,PI,reginasousa@senadora.leg.br,39312.96,0.00,0.00,0.00,0.00,39312.96,04/07/1950,2211100,Regina Sousa,Maria Regina Sousa,regina sousa,PT,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5182.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5182
70,0,0,0,0,0.00,23,20,22,23,23,16,14,20,17,18,0,0,11,12,1.00,Titular,39,34,42,40,41,AL,renan.calheiros@senador.leg.br,900938.44,234814.09,321013.29,168560.64,171008.49,5541.93,16/09/1955,2705507,Renan Calheiros,José Renan Vasconcelos Calheiros,renan calheiros,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/70
635,0,0,1,0,0.75,8,7,8,6,10,14,15,15,18,16,0,0,0,0,0.00,Titular,22,22,23,24,26,ES,ricardo.ferraco@senador.leg.br,1023647.70,148617.01,235663.29,280639.73,330302.30,28425.37,17/08/1963,3201209,Ricardo Ferraço,Ricardo de Rezende Ferraço,ricardo ferraco,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador635.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/635
5052,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1º Suplente,0,0,0,0,0,BA,roberto.muniz@senador.leg.br,0.00,0.00,0.00,0.00,0.00,0.00,23/11/1963,2927408,Roberto Muniz,Roberto de Oliveira Muniz,roberto muniz,PP,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5052.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5052
72,0,0,0,0,0.00,23,21,21,21,18,10,12,11,11,11,0,0,7,12,1.00,Titular,33,33,32,32,29,PR,roberto.requiao@senador.leg.br,1342244.83,157108.95,365669.99,403811.92,373682.82,41971.15,05/03/1941,4106902,Roberto Requião,Roberto Requião de Mello e Silva,roberto requiao,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador72.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/72
5110,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2º Suplente,0,0,0,0,0,MT,,0.00,0.00,0.00,0.00,0.00,0.00,21/08/1943,5103403,Rodrigues Palma,Manoel Antônio Rodrigues Palma,rodrigues palma,PR,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5110.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5110
73,0,0,11,12,1.00,15,14,13,21,19,10,13,16,15,21,0,0,0,0,0.00,Titular,25,27,29,36,40,RR,romero.juca@senador.leg.br,1551756.59,326268.68,388197.87,347123.45,442756.94,47409.65,30/11/1954,2611606,Romero Jucá,Romero Jucá Filho,romero juca,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador73.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/73
4560,0,0,0,0,0.00,33,30,29,26,27,8,8,7,7,12,0,0,7,12,1.00,Titular,41,38,36,33,39,AC,sergio.petecao@senador.leg.br,1830934.68,348888.17,470434.35,478633.76,488211.72,44766.68,20/04/1960,1200401,Sérgio Petecão,Sérgio de Oliveira Cunha,sergio petecao,PSD,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4560
3372,0,0,0,0,0.00,30,29,27,27,30,29,29,29,30,29,0,0,0,0,0.00,Titular,59,58,56,57,59,RO,valdir.raupp@senador.leg.br,1552406.17,298912.52,276405.79,421148.49,513847.87,42091.50,24/08/1955,4216404,Valdir Raupp,Valdir Raupp de Matos,valdir raupp,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3372.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3372
558,0,0,0,0,0.00,28,29,29,29,36,16,17,16,17,19,0,0,7,12,1.00,Titular,44,46,45,46,55,AM,vanessa.grazziotin@senadora.leg.br,1933410.01,370722.99,422426.47,544348.07,547469.95,48442.53,29/06/1961,4219309,Vanessa Grazziotin,Vanessa Grazziotin,vanessa grazziotin,PCdoB,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador558.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/558
4763,0,0,0,0,0.00,31,0,27,27,41,28,0,28,31,12,0,0,7,12,1.00,Titular,59,0,55,58,53,TO,vicentinho.alves@senador.leg.br,1049510.06,234591.38,251195.18,207605.15,323326.46,32791.89,01/10/1957,1718204,Vicentinho Alves,Vicente Alves de Oliveira,vicentinho alves,PR,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4763.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4763
1176,0,0,0,0,0.00,11,11,11,11,10,16,14,19,19,19,0,0,7,12,1.00,Titular,27,25,30,30,29,MS,waldemir.moka@senador.leg.br,1424695.52,241989.88,334305.35,386065.34,432314.32,30020.63,10/10/1951,5002100,Waldemir Moka,Waldemir Moka Miranda de Britto,waldemir moka,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1176.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1176
5070,0,0,0,0,0.00,0,13,9,13,18,0,15,15,17,15,0,0,7,9,1.00,1º Suplente,0,28,24,30,33,GO,wilder.morais@senador.leg.br,408014.21,0.00,67136.14,185742.76,125291.91,29843.40,29/06/1968,5221007,Wilder Morais,Wilder Pedro de Morais,wilder morais,DEM,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5070.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5070
5144,0,0,9,12,1.00,7,11,11,10,25,19,21,30,30,28,0,0,0,0,0.00,1º Suplente,26,32,41,40,53,MG,zeze.perrella@senador.leg.br,1095282.52,148447.72,335890.42,222520.97,348698.72,39724.69,22/02/1957,3161809,Zeze Perrella,José Perrella de Oliveira Costa,zeze perrella,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5144.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5144
4697,0,0,11,12,1.00,20,21,22,18,19,17,14,11,12,14,0,0,0,0,0.00,Titular,37,35,33,30,33,RR,angela.portela@senadora.leg.br,1633522.47,349038.41,420194.16,429644.03,392542.81,42103.06,03/02/1962,2304004,Ângela Portela,Ângela Maria Gomes Portela,angela portela,PDT,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4697.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4697
4981,0,0,0,0,0.00,18,21,22,24,20,19,20,18,18,24,0,0,7,12,0.08,Titular,37,41,40,42,44,RO,acir@senador.leg.br,1425762.72,289422.52,281183.95,425015.80,391288.37,38852.08,25/02/1962,4104808,Acir Gurgacz,Acir Marcos Gurgacz,acir gurgacz,PDT,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981
4815,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2º Suplente,0,0,0,0,0,AL,ada.mello@senadora.leg.br,0.00,0.00,0.00,0.00,0.00,0.00,16/12/1953,2704302,Ada Mello,Ada Mercedes de Mello Marques Luz,ada mello,PTB,Feminino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4815.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4815
