codigo,Auxílio-Moradia-2008,Auxílio-Moradia-2009,Auxílio-Moradia-2010,Auxílio-Moradia-2011,Escritório(s) de Apoio-2008,Escritório(s) de Apoio-2009,Escritório(s) de Apoio-2010,Escritório(s) de Apoio-2011,Gabinete-2008,Gabinete-2009,Gabinete-2010,Gabinete-2011,Imóvel Funcional-2008,Imóvel Funcional-2009,Imóvel Funcional-2010,Imóvel Funcional-2011,Participacao,TotalGabinete-2007,TotalGabinete-2008,TotalGabinete-2009,TotalGabinete-2010,TotalGabinete-2011,UF,email,gastos,gastos2007,gastos2008,gastos2009,gastos2010,gastos2011,nascimentoData,naturalMunicipio,nome,nomeCompleto,nomeSort,partido,sexo,status,urlFoto,urlPagina
4837,0,0,0,0,0,0,0,28,0,0,30,16,0,0,0,0,1º Suplente,0,0,0,30,44,AC,anibal.diniz@senador.leg.br,22834.77,0,0.00,0.00,0.00,22834.77,13/12/1962,4104303,Anibal Diniz,Anibal Diniz,anibal diniz,PT,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4837.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4837
4897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2º Suplente,0,0,0,0,0,MG,Antonio.aureliano@senador.leg.br,0.00,0,0.00,0.00,0.00,0.00,13/01/1958,3132404,Antonio Aureliano,Antônio Aureliano Sanches de Mendonça,antonio aureliano,PSDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4897.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4897
118,0,0,0,0,0,9,12,0,23,17,16,0,0,0,0,0,1º Suplente,0,23,26,28,0,BA,acmjr@senador.leg.br,318522.51,0,0.00,136805.70,180471.69,1245.12,24/09/1952,-1,Antonio Carlos Júnior,Antonio Carlos Peixoto de Magalhães Júnior,antonio carlos junior,DEM,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador118.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/118
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Titular,0,0,0,0,0,BA,acm@senador.leg.br,0.00,0,0.00,0.00,0.00,0.00,04/09/1927,2927408,Antonio Carlos Magalhães,Antonio Carlos Peixoto de Magalhães,antonio carlos magalhaes,S/Partido,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4
3,0,0,0,0,0,0,30,29,34,35,7,10,0,0,0,0,Titular,0,34,35,37,39,SE,antoniocarlosvaladares@senador.leg.br,248864.49,0,13478.40,141564.80,78892.28,14929.01,06/04/1943,2807105,Antonio Carlos Valadares,Antonio Carlos Valadares,antonio carlos valadares,PSB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3
4516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1º Suplente,0,0,0,0,0,MS,antonio.joao@senador.leg.br,0.00,0,0.00,0.00,0.00,0.00,26/12/1947,-1,Antonio João,Antonio João Hugo Rodrigues,antonio joao,PTB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4516.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4516
4891,0,0,0,0,0,0,0,14,0,0,0,13,0,0,0,0,1º Suplente,0,0,0,0,27,MS,antonio.russo@senador.leg.br,12959.94,0,0.00,0.00,0.00,12959.94,14/07/1941,3550308,Antonio Russo,Antonio Russo Netto,antonio russo,PR,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4891.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4891
551,0,0,0,0,0,0,4,0,35,34,28,0,0,0,0,0,Titular,0,35,34,32,0,AM,arthur.virgilio@senador.leg.br,255253.60,0,7008.00,152380.00,95865.60,0.00,15/11/1945,1302603,Arthur Virgílio,Arthur Virgílio do Carmo Ribeiro Neto,arthur virgilio,PSDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador551.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/551
4983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1º Suplente,0,0,0,0,0,RO,,0.00,0,0.00,0.00,0.00,0.00,31/05/1941,4106803,Assis Gurgacz,Assis Gurgacz,assis gurgacz,PDT,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4983.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4983
3432,0,0,0,0,0,0,0,0,29,30,41,0,0,0,0,0,Titular,0,29,30,41,0,RR,augusto.botelho@senador.leg.br,331219.49,0,456.00,141998.40,187540.09,1225.00,24/12/1947,3205309,Augusto Botelho,Augusto Affonso Botelho Neto,augusto botelho,S/Partido,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3432.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3432
3642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1º Suplente,0,0,0,0,0,SC,belini.meurer@senador.leg.br,24180.20,0,0.00,0.00,24180.20,0.00,26/11/1959,4202800,Belini Meurer,Belini Meurer,belini meurer,PT,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3642.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3642
704,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,1º Suplente,0,40,0,0,0,PB,carlos.dunga@senador.leg.br,0.00,0,0.00,0.00,0.00,0.00,07/12/1945,2512101,Carlos Dunga,Carlos Marques Dunga,carlos dunga,PTB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador704.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/704
13,0,0,0,0,0,0,0,18,0,0,0,14,0,0,0,0,1º Suplente,0,0,0,0,32,SC,casildomaldaner@senador.leg.br,21960.78,0,2862.08,0.00,0.00,19098.70,02/04/1942,4321006,Casildo Maldaner,Casildo João Maldaner,casildo maldaner,MDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador13.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/13
4895,0,0,0,0,0,0,0,14,0,0,0,20,0,0,0,0,1º Suplente,0,0,0,0,34,MG,clesio.andrade@senador.leg.br,8340.44,0,0.00,0.00,0.00,8340.44,12/10/1952,3136652,Clésio Andrade,Clésio Soares de Andrade,clesio andrade,MDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4895.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4895
3398,0,0,0,0,0,0,0,0,31,26,27,24,0,0,0,0,Titular,0,31,26,27,24,DF,cristovam.buarque@senador.leg.br,107138.89,0,5344.42,79793.29,22001.18,0.00,20/02/1944,2611606,Cristovam Buarque,Cristovam Ricardo Cavalcanti Buarque,cristovam buarque,PPS,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3398.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3398
4877,0,0,0,0,0,0,0,10,0,0,29,22,0,0,0,0,1º Suplente,0,0,0,29,32,GO,cyro.miranda@senador.leg.br,20041.60,0,0.00,0.00,0.00,20041.60,04/02/1946,3549805,Cyro Miranda,Cyro Miranda Gifford Júnior,cyro miranda,PSDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4877.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4877
3395,0,0,0,0,0,12,14,0,25,15,12,0,0,0,0,0,Titular,0,25,27,26,0,BA,cesarborges@senador.leg.br,313414.52,0,2912.00,137849.18,172653.34,0.00,21/11/1948,2927408,César Borges,César Augusto Rabello Borges,cesar borges,PR,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3395.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3395
4529,0,0,0,0,0,0,19,23,39,37,19,17,0,0,0,0,Titular,0,39,37,38,40,PB,cicero.lucena@senador.leg.br,376613.05,0,13981.52,152160.72,180294.22,30176.59,05/08/1957,2514503,Cícero Lucena,Cícero de Lucena Filho,cicero lucena,PSDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4529.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4529
3637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1º Suplente,0,0,0,0,0,PR,danimarcristina@senadora.leg.br,1220.80,0,0.00,0.00,0.00,1220.80,03/06/1956,-1,Danimar Cristina,Danimar Cristina Pereira da Silva,danimar cristina,PR,Feminino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3637.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3637
3360,0,0,0,0,0,16,13,17,27,17,21,13,0,0,0,0,Titular,0,27,33,34,30,MS,delcidio.amaral@senador.leg.br,306512.25,0,3222.00,134615.22,147766.22,20908.81,08/02/1955,5003207,Delcídio do Amaral,Delcídio do Amaral Gomez,delcidio do amaral,S/Partido,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3360.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3360
3399,0,0,0,0,0,25,32,0,34,14,10,0,0,0,0,0,Titular,0,34,39,42,0,GO,demostenes.torres@senador.leg.br,364145.20,0,10936.00,143856.00,188008.00,21345.20,23/01/1961,5201306,Demóstenes Torres,Demóstenes Lazaro Xavier Torres,demostenes torres,S/Partido,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3399.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3399
3412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Titular,0,0,0,0,0,PA,duciomar@senador.leg.br,0.00,0,0.00,0.00,0.00,0.00,17/08/1955,1508035,Duciomar Costa,Duciomar Gomes da Costa,duciomar costa,PTB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3412.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3412
16,0,0,0,0,0,0,9,0,1,0,31,0,0,0,0,0,Titular,0,1,0,40,0,MA,edison.lobao@senador.leg.br,0.00,0,0.00,0.00,0.00,0.00,05/12/1936,2106706,Edison Lobão,Edison Lobão,edison lobao,MDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador16.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/16
3400,0,0,0,0,0,0,13,0,26,28,18,0,0,0,0,0,Titular,0,26,28,31,0,MG,eduardoazeredo@senador.leg.br,384942.20,0,30031.58,150597.58,203063.04,1250.00,09/09/1948,3106200,Eduardo Azeredo,Eduardo Brandão de Azeredo,eduardo azeredo,PSDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3400.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3400
17,0,0,0,0,0,0,4,4,16,16,14,14,0,0,0,0,Titular,0,16,16,18,18,SP,eduardo.suplicy@senador.leg.br,107955.51,0,13636.48,31475.24,55326.85,7516.94,21/06/1941,3550308,Eduardo Suplicy,Eduardo Matarazzo Suplicy,eduardo suplicy,PT,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador17.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/17
707,0,0,0,0,0,18,53,0,44,57,19,0,0,0,0,0,Titular,0,44,75,72,0,PB,efraim.morais@senador.leg.br,333618.11,0,6452.69,138979.19,186936.48,1249.75,04/09/1952,2513406,Efraim Morais,Efraim de Araújo Morais,efraim morais,DEM,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador707.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/707
394,0,0,0,0,0,17,16,0,33,14,13,0,0,0,0,0,Titular,0,33,31,29,0,MG,eliseuresende@senador.leg.br,319290.51,0,0.00,139290.51,180000.00,0.00,07/02/1929,3145604,Eliseu Resende,Eliseu Resende,eliseu resende,DEM,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador394.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/394
20,0,0,0,0,0,9,10,11,38,27,32,32,0,0,0,0,Titular,0,38,36,42,43,MA,ecafeteira@senador.leg.br,289848.40,0,0.00,96392.23,175997.74,17458.43,27/06/1924,2507507,Epitácio Cafeteira,Epitácio Cafeteira Afonso Pereira,epitacio cafeteira,PTB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador20.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/20
4780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1º Suplente,0,0,0,0,0,AL,euclydes.mello@senador.leg.br,0.00,0,0.00,0.00,0.00,0.00,04/11/1951,3304557,Euclydes Mello,Euclydes Affonso de Mello Neto,euclydes mello,PRB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4780.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4780
3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1º Suplente,0,0,0,0,0,DF,euripedes.camargo@senador.leg.br,0.00,0,0.00,0.00,0.00,0.00,09/11/1950,5205406,Eurípedes Camargo,Eurípedes Pedro Camargo,euripedes camargo,PT,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3552.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3552
1189,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,Titular,0,31,0,0,0,RO,expedito.junior@senador.leg.br,117286.00,0,786.00,116500.00,0.00,0.00,10/06/1963,3518206,Expedito Júnior,Expedito Gonçalves Ferreira Júnior,expedito junior,PSDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1189.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1189
4525,0,0,0,0,0,0,0,0,0,45,48,56,0,0,0,0,Titular,0,0,45,48,56,AL,fernando.collor@senador.leg.br,348257.56,0,0.00,135110.77,179973.27,33173.52,12/08/1949,3304557,Fernando Collor,Fernando Affonso Collor de Mello,fernando collor,PTC,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4525.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4525
3634,0,0,0,0,0,14,15,16,31,19,15,15,0,0,0,0,1º Suplente,0,31,33,30,31,PA,flexa.ribeiro@senador.leg.br,314326.48,0,15553.52,135516.90,134549.41,28706.65,12/09/1945,1501402,Flexa Ribeiro,Fernando de Souza Flexa Ribeiro,flexa ribeiro,PSDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3634.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3634
345,0,0,0,0,0,13,0,0,23,14,0,0,0,0,0,0,Titular,0,23,27,0,0,PR,flavioarns@senador.leg.br,309505.97,0,456.00,129049.97,180000.00,0.00,09/11/1950,4106902,Flávio Arns,Flávio José Arns,flavio arns,PSDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador345.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/345
3619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1º Suplente,0,0,0,0,0,CE,flaviotorres@senador.leg.br,48002.54,0,0.00,48002.54,0.00,0.00,04/11/1944,2304400,Flávio Torres,Flávio Torres,flavio torres,PDT,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3619.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3619
765,0,0,0,0,0,11,12,14,35,18,18,18,0,0,0,0,Titular,0,35,29,30,32,RJ,francisco.dornelles@senador.leg.br,343175.72,0,6514.56,130459.16,181888.21,24313.79,07/01/1935,3106200,Francisco Dornelles,Francisco Oswaldo Neves Dornelles,francisco dornelles,PP,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador765.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/765
3574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1º Suplente,0,0,0,0,0,ES,francisco.pereira@senador.leg.br,0.00,0,0.00,0.00,0.00,0.00,20/03/1958,3113305,Francisco Pereira,Francisco José Gonçalves Pereira,francisco pereira,S/Partido,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3574.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3574
3371,0,0,0,0,0,19,21,0,29,12,12,0,0,0,0,0,Titular,0,29,31,33,0,RO,fatima.cleide@senadora.leg.br,284291.02,0,9231.04,135530.26,139529.72,0.00,03/01/1963,1100205,Fátima Cleide,Fátima Cleide Rodrigues da Silva,fatima cleide,PT,Feminino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3371.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3371
4935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1º Suplente,0,0,0,0,0,RN,garibaldi@senador.leg.br,5460.85,0,0.00,0.00,0.00,5460.85,27/05/1923,2408102,Garibaldi Alves,Garibaldi Alves,garibaldi alves,MDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4935.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4935
87,0,0,0,0,0,13,10,0,21,17,19,0,0,0,0,0,Titular,0,21,30,29,0,RN,garibaldi.alves@senador.leg.br,267207.74,0,0.00,139707.74,127500.00,0.00,04/02/1947,2408102,Garibaldi Alves Filho,Garibaldi Alves Filho,garibaldi alves filho,MDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador87.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/87
4522,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1º Suplente,0,0,38,0,0,AP,geovaniborges@senador.leg.br,86252.62,0,0.00,0.00,60000.00,26252.62,16/05/1953,1600402,Geovani Borges,Geovani Pinheiro Borges,geovani borges,MDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4522.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4522
3392,0,0,0,0,0,17,18,0,41,17,20,0,0,0,0,0,Titular,0,41,34,38,0,AC,geraldo.mesquita@senador.leg.br,323492.81,0,28074.92,155384.51,139967.28,66.10,06/11/1948,2304400,Geraldo Mesquita Júnior,Geraldo Gurgel de Mesquita Júnior,geraldo mesquita junior,MDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3392.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3392
28,0,0,0,0,0,11,15,0,17,14,14,0,0,0,0,0,Titular,0,17,25,29,0,ES,gecamata@senador.leg.br,197618.03,0,2358.72,57453.15,137423.66,382.50,29/06/1941,3201407,Gerson Camata,Gerson Camata,gerson camata,MDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador28.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/28
3626,0,0,0,0,0,7,0,0,25,20,13,0,0,0,0,0,1º Suplente,0,25,27,13,0,MT,gilberto.goellner@senador.leg.br,257694.07,0,1572.00,138234.72,117439.78,447.57,19/02/1947,4312658,Gilberto Goellner,Gilberto Flávio Goellner,gilberto goellner,DEM,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3626.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3626
30,0,0,0,0,0,0,0,0,38,0,43,0,0,0,0,0,Titular,0,38,0,43,0,AP,gilvamborges@senador.leg.br,258727.50,0,0.00,135000.00,120000.00,3727.50,01/08/1958,5300108,Gilvam Borges,Gilvam Pinheiro Borges,gilvam borges,MDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador30.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/30
740,0,0,0,0,0,18,25,0,39,22,13,0,0,0,0,0,Titular,0,39,40,38,0,PI,heraclito.fortes@senador.leg.br,302989.94,0,27502.62,128654.49,145582.83,1250.00,01/08/1950,2211001,Heráclito Fortes,Heráclito de Sousa Fortes,heraclito fortes,DEM,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador740.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/740
1179,0,0,0,0,0,0,12,0,0,0,8,0,0,0,0,0,Titular,0,0,0,20,0,MG,helio.costa@senador.leg.br,89633.48,0,0.00,0.00,88594.62,1038.86,17/08/1939,3105608,Hélio Costa,Hélio Calixto da Costa,helio costa,MDB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1179.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1179
3373,0,0,0,0,0,0,0,0,28,35,0,0,0,0,0,0,Titular,0,28,35,0,0,SC,ideli.salvatti@senadora.leg.br,279509.93,0,4293.60,142702.81,132513.52,0.00,18/03/1952,3550308,Ideli Salvatti,Ideli Salvatti,ideli salvatti,PT,Feminino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3373.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3373
3578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2º Suplente,0,0,0,0,0,MA,ildon.marques@senador.leg.br,0.00,0,0.00,0.00,0.00,0.00,20/10/1945,-1,Ildon Marques,Ildon Marques de Souza,ildon marques,PSB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3578.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3578
613,0,0,0,0,0,13,13,13,28,16,14,15,0,0,0,0,Titular,0,28,29,27,28,CE,inacioarruda@senador.leg.br,376229.14,0,23351.21,162875.35,164614.62,25387.96,05/05/1957,2304400,Inácio Arruda,Inácio Francisco de Assis Nunes Arruda,inacio arruda,PCdoB,Masculino,ForaExercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador613.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/613
