codigo,Auxílio-Moradia-2015,Auxílio-Moradia-2016,Auxílio-Moradia-2017,Auxílio-Moradia-2018,Escritório(s) de Apoio-2015,Escritório(s) de Apoio-2016,Escritório(s) de Apoio-2017,Escritório(s) de Apoio-2018,Gabinete-2015,Gabinete-2016,Gabinete-2017,Gabinete-2018,Imóvel Funcional-2015,Imóvel Funcional-2016,Imóvel Funcional-2017,Imóvel Funcional-2018,Participacao,TotalGabinete-2015,TotalGabinete-2016,TotalGabinete-2017,TotalGabinete-2018,UF,email,gastos,gastos2015,gastos2016,gastos2017,gastos2018,nascimentoData,naturalMunicipio,nome,nomeCompleto,nomeSort,partido,sexo,status,urlFoto,urlPagina
3398,0.00,0,0,0,0,0,0,0,25,27,26,31,0.00,0,0,0,Titular,25,27,26,31,DF,cristovam.buarque@senador.leg.br,279065.81,27273.75,125392.13,91630.57,34769.36,20/02/1944,2611606,Cristovam Buarque,Cristovam Ricardo Cavalcanti Buarque,cristovam buarque,PPS,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3398.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3398
5197,0.00,0,0,0,34,0,36,37,23,0,12,14,11.00,11,12,6,Titular,57,0,48,51,PB,cassio.cunha.lima@senador.leg.br,1383924.97,434408.86,236177.76,467995.99,245342.36,05/04/1963,2504009,Cássio Cunha Lima,Cássio Rodrigues da Cunha Lima,cassio cunha lima,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5197.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5197
5132,7.00,12,12,6,4,5,6,6,17,16,14,18,0.00,0,0,0,1º Suplente,21,21,20,24,SC,dalirio.beber@senador.leg.br,822704.62,147168.23,279803.99,252979.84,142752.56,16/04/1949,4210605,Dalirio Beber,Dalírio José Beber,dalirio beber,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5132.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5132
3830,0.00,0,0,0,10,8,10,14,21,24,31,34,0.00,0,0,0,Titular,31,32,41,48,AP,davi.alcolumbre@senador.leg.br,1801821.00,499411.68,549876.83,567958.74,184573.75,19/06/1977,1600303,Davi Alcolumbre,David Samuel Alcolumbre Tobelem,davi alcolumbre,DEM,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3830
5537,7.00,0,0,0,6,4,9,9,12,12,11,12,4.00,12,12,6,Titular,18,16,20,21,SC,dario.berger@senador.leg.br,1110297.02,294970.67,370261.50,342470.27,102594.58,07/12/1956,4202602,Dário Berger,Dário Elias Berger,dario berger,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5537.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5537
16,0.00,0,0,0,9,11,0,13,35,34,0,33,0.00,0,0,0,Titular,44,45,0,46,MA,edison.lobao@senador.leg.br,1038518.23,195012.20,187685.86,564486.36,91333.81,05/12/1936,2106706,Edison Lobão,Edison Lobão,edison lobao,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador16.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/16
4721,11.00,12,12,6,31,32,35,37,15,15,17,21,0.00,0,0,0,Titular,46,47,52,58,SE,eduardo.amorim@senador.leg.br,1262897.53,350916.91,328053.58,367903.57,216023.47,17/05/1963,2802908,Eduardo Amorim,Eduardo Alves do Amorim,eduardo amorim,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4721.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4721
4994,0.92,0,0,0,0,5,6,8,0,23,25,28,0.00,8,12,6,Titular,0,28,31,36,AM,eduardo.braga@senador.leg.br,1126705.88,28.30,304733.26,504561.19,317383.13,06/12/1960,1501402,Eduardo Braga,Carlos Eduardo de Souza Braga,eduardo braga,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4994
4767,0.00,3,12,6,0,0,41,44,0,0,18,21,0.00,0,0,0,1º Suplente,0,0,59,65,RJ,eduardo.lopes@senador.leg.br,865460.21,0.00,123827.54,489818.07,251814.60,19/09/1964,-1,Eduardo Lopes,Eduardo Benedito Lopes,eduardo lopes,PRB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4767.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4767
612,0.00,0,0,0,22,21,25,24,9,9,12,16,0.00,0,0,0,Titular,31,30,37,40,CE,eunicio.oliveira@senador.leg.br,71950.50,23922.08,24556.75,21414.37,2057.30,30/09/1952,2307502,Eunício Oliveira,Eunício Lopes de Oliveira,eunicio oliveira,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador612.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/612
5540,0.00,0,0,0,12,17,18,19,24,21,15,18,0.00,0,0,0,Titular,36,38,33,37,PE,fernandobezerracoelho@senador.leg.br,1624279.18,435354.56,500494.51,454370.48,234059.63,07/12/1957,2611101,Fernando Bezerra Coelho,Fernando Bezerra de Souza Coelho,fernando bezerra coelho,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5540.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5540
4525,0.00,0,0,0,0,0,31,34,77,78,50,22,11.00,12,12,6,Titular,77,78,81,56,AL,fernando.collor@senador.leg.br,1650774.15,438959.11,537064.71,431015.35,243734.98,12/08/1949,3304557,Fernando Collor,Fernando Affonso Collor de Mello,fernando collor,PTC,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4525.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4525
3634,2.75,0,0,0,9,9,10,10,19,17,19,23,9.17,12,12,6,Titular,28,26,29,33,PA,flexa.ribeiro@senador.leg.br,1716549.97,496419.97,437592.44,546540.05,235997.51,12/09/1945,1501402,Flexa Ribeiro,Fernando de Souza Flexa Ribeiro,flexa ribeiro,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3634.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3634
3713,11.00,4,0,0,21,21,24,23,8,8,9,13,0.00,8,12,6,Titular,29,29,33,36,RN,fatima.bezerra@senadora.leg.br,1172382.29,322699.64,364024.75,350266.57,135391.33,19/05/1955,2510303,Fátima Bezerra,Maria de Fátima Bezerra,fatima bezerra,PT,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3713.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3713
87,0.00,0,0,0,18,16,19,19,21,21,21,25,11.00,12,12,6,Titular,39,37,40,44,RN,garibaldi.alves@senador.leg.br,1075255.87,249118.39,250831.12,350423.77,224882.59,04/02/1947,2408102,Garibaldi Alves Filho,Garibaldi Alves Filho,garibaldi alves filho,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador87.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/87
5030,0.00,0,0,0,0,0,0,49,0,0,0,17,0.00,0,0,0,1º Suplente,0,0,0,66,AL,,1231.35,0.00,0.00,0.00,1231.35,20/03/1968,2704302,Givago Tenório,José Givago Raposo Tenório,givago tenorio,PP,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5030.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5030
4558,0.00,0,0,0,22,23,22,22,18,18,18,21,7.00,12,12,6,Titular,40,41,40,43,AC,gladson.cameli@senador.leg.br,2106369.09,619038.09,629350.65,583773.22,274207.13,26/03/1978,1200203,Gladson Cameli,Gladson de Lima Cameli,gladson cameli,PP,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4558.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4558
5006,0.00,0,0,0,27,24,30,28,13,15,12,14,11.00,12,12,6,Titular,40,39,42,42,PR,gleisi@senadora.leg.br,1424197.62,361785.78,415006.39,468567.87,178837.58,06/09/1965,4106902,Gleisi Hoffmann,Gleisi Helena Hoffmann,gleisi hoffmann,PT,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5006.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5006
5008,0.00,0,0,0,17,18,21,23,17,15,18,22,11.00,12,12,6,Titular,34,33,39,45,PE,humberto.costa@senador.leg.br,1976378.23,475409.14,599929.54,613236.12,287803.43,07/07/1957,3509502,Humberto Costa,Humberto Sérgio Costa Lima,humberto costa,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008
5100,0.00,0,0,0,0,19,30,41,79,57,46,59,0.00,0,0,0,1º Suplente,79,76,76,100,DF,heliojose@senador.leg.br,1001147.92,243355.52,300146.29,332663.38,124982.73,09/03/1960,5205802,Hélio José,Hélio José da Silva Lima,helio jose,PROS,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5100.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5100
35,0.00,0,0,0,13,12,15,14,10,10,13,16,11.00,12,12,6,Titular,23,22,28,30,PA,jader.barbalho@senador.leg.br,711781.20,221103.44,252899.39,182935.85,54842.52,27/10/1944,1501402,Jader Barbalho,Jader Fontenelle Barbalho,jader barbalho,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/35
4990,0.00,0,0,0,16,15,21,23,9,9,14,19,11.00,12,12,6,Titular,25,24,35,42,AC,jorge.viana@senador.leg.br,1549449.79,411514.45,452562.15,406386.55,278986.64,20/09/1959,1200401,Jorge Viana,Jorge Ney Viana Macedo Neves,jorge viana,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4990.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4990
40,11.00,12,12,6,23,22,22,22,19,22,24,27,0.00,0,0,0,Titular,42,44,46,49,RN,jose.agripino@senador.leg.br,1248777.60,317431.29,370106.07,361098.49,200141.75,23/05/1945,2408003,José Agripino,José Agripino Maia,jose agripino,DEM,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador40.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/40
5849,0.00,0,0,0,0,0,0,36,0,0,0,22,0.00,0,0,0,1º Suplente,0,0,0,58,PI,,3817.68,0.00,0.00,0.00,3817.68,17/11/1960,-1,José Amauri,Jose Amauri P. de Araújo,jose amauri,PODE,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5849.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5849
3361,0.00,0,0,0,16,19,19,19,12,10,9,12,9.17,12,12,6,Titular,28,29,28,31,PB,jose.maranhao@senador.leg.br,1028220.04,197929.84,332565.33,356942.66,140782.21,06/09/1933,2501005,José Maranhão,José Targino Maranhão,jose maranhao,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3361.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3361
5112,0.00,0,0,0,14,11,13,14,19,19,16,21,10.00,12,12,6,1º Suplente,33,30,29,35,MT,josemedeiros@senador.leg.br,1682627.17,446459.40,482118.28,494559.18,259490.31,19/03/1970,2402006,José Medeiros,José Antônio Medeiros,jose medeiros,PODE,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5112.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5112
615,0.00,0,0,0,22,20,28,29,9,13,13,17,11.00,12,12,6,Titular,31,33,41,46,CE,jose.pimentel@senador.leg.br,1861411.05,538256.45,527028.70,564144.06,231981.84,16/10/1953,2208007,José Pimentel,José Barroso Pimentel,jose pimentel,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador615.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/615
90,0.00,0,0,0,7,0,12,7,15,0,13,15,9.17,12,12,6,Titular,22,0,25,22,SP,jose.serra@senador.leg.br,924265.54,316223.91,119274.39,315822.41,172944.83,19/03/1942,3550308,José Serra,José Serra,jose serra,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador90.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/90
950,0.00,0,0,0,27,28,29,29,47,50,55,57,11.00,12,12,6,Titular,74,78,84,86,MA,joao.alberto.souza@senador.leg.br,1228951.05,304641.42,270126.76,436175.57,218007.30,01/10/1935,2111706,João Alberto Souza,João Alberto de Souza,joao alberto souza,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador950.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/950
3394,0.00,0,0,0,40,42,47,49,19,15,15,19,11.00,12,12,6,Titular,59,57,62,68,AP,joao.capiberibe@senador.leg.br,1840733.70,504309.11,538127.29,537210.20,261087.10,06/05/1947,1500305,João Capiberibe,João Alberto Rodrigues Capiberibe,joao capiberibe,PSB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3394.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3394
1249,0.00,7,12,6,0,16,28,23,0,16,16,19,0.92,0,0,0,Titular,0,32,44,42,TO,katia.abreu@senadora.leg.br,681654.03,9.09,149873.45,351825.46,179946.03,02/02/1962,5208707,Kátia Abreu,Kátia Regina de Abreu,katia abreu,PDT,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1249.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1249
5533,0.00,0,0,0,5,6,6,5,13,11,14,17,10.00,12,12,6,Titular,18,17,20,22,RS,lasier.martins@senador.leg.br,946814.79,235872.63,266400.11,323582.50,120959.55,14/04/1942,4308805,Lasier Martins,Lasier Costa Martins,lasier martins,PSD,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5533.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5533
3695,11.00,1,0,0,15,15,15,12,16,17,18,23,0.00,11,12,6,Titular,31,32,33,35,RJ,lindbergh.farias@senador.leg.br,1408901.91,386455.58,423511.99,407381.51,191552.83,08/12/1969,2507507,Lindbergh Farias,Luiz Lindbergh Farias Filho,lindbergh farias,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3695.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3695
4575,0.00,0,0,0,28,31,29,31,24,19,21,26,11.00,12,12,6,Titular,52,50,50,57,BA,lidice.mata@senadora.leg.br,1312362.91,434566.79,351439.13,364347.96,162009.03,12/03/1956,2904902,Lídice da Mata,Lídice da Mata e Souza,lidice da mata,PSB,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4575.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4575
643,0.00,0,0,0,6,8,10,11,19,17,17,19,11.00,12,12,6,Titular,25,25,27,30,GO,lucia.vania@senadora.leg.br,1005571.24,253982.76,308298.79,341692.36,101597.33,15/10/1944,5206602,Lúcia Vânia,Lúcia Vânia Abrão,lucia vania,PSB,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador643.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/643
631,11.00,12,12,6,30,29,30,25,18,16,15,18,0.00,0,0,0,Titular,48,45,45,43,ES,magno.malta@senador.leg.br,1461026.66,427596.21,435377.26,357310.03,240743.16,16/10/1957,2919702,Magno Malta,Magno Pereira Malta,magno malta,PR,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador631.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/631
1023,0.00,0,0,0,0,0,21,23,0,0,14,18,0.92,0,0,0,Titular,0,0,35,41,SE,maria.carmo.alves@senadora.leg.br,472316.39,123757.28,9685.33,230524.43,108349.35,23/08/1941,2801603,Maria do Carmo Alves,Maria do Carmo do Nascimento Alves,maria do carmo alves,DEM,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1023.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1023
5000,0.00,0,0,0,10,15,20,25,18,17,17,19,11.00,12,12,6,Titular,28,32,37,44,SP,marta.suplicy@senadora.leg.br,966143.82,206137.44,305629.16,305161.96,149215.26,18/03/1945,3550308,Marta Suplicy,Marta Teresa Suplicy,marta suplicy,MDB,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5000.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5000
5525,10.00,12,12,6,0,0,0,0,38,34,38,39,0.00,0,0,0,Titular,38,34,38,39,AM,omar.aziz@senador.leg.br,1589995.93,401182.44,416699.36,502825.85,269288.28,13/08/1958,3516705,Omar Aziz,Omar José Abdel Aziz,omar aziz,PSD,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5525.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5525
5523,0.00,0,0,0,13,16,19,21,15,15,15,19,10.00,12,12,6,Titular,28,31,34,40,BA,otto.alencar@senador.leg.br,886617.51,220358.04,221020.19,270736.41,174502.87,28/08/1947,2927200,Otto Alencar,Otto Roberto Mendonça de Alencar,otto alencar,PSD,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5523
3741,0.00,0,0,0,15,12,14,14,12,10,11,12,11.00,12,12,6,Titular,27,22,25,26,SC,paulo.bauer@senador.leg.br,1578061.47,447955.40,462852.70,453021.37,214232.00,20/03/1957,4202404,Paulo Bauer,Paulo Roberto Bauer,paulo bauer,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3741.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3741
825,11.00,12,12,1,14,15,19,23,18,17,18,23,0.00,0,0,0,Titular,32,32,37,46,RS,paulopaim@senador.leg.br,1612165.50,297281.42,484492.84,530405.10,299986.14,15/03/1950,4305108,Paulo Paim,Paulo Renato Paim,paulo paim,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/825
374,0.00,0,0,0,25,27,30,28,14,15,16,19,0.00,7,12,6,Titular,39,42,46,47,PA,paulo.rocha@senador.leg.br,1824953.26,390634.74,630082.00,573891.65,230344.87,01/04/1951,1502905,Paulo Rocha,Paulo Roberto Galvão da Rocha,paulo rocha,PT,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador374.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/374
5116,0.00,6,12,6,0,12,16,17,0,14,16,20,0.00,0,0,0,1º Suplente,0,26,32,37,MS,pedrochaves@senador.leg.br,937066.84,0.00,277079.91,470653.71,189333.22,07/12/1940,5002704,Pedro Chaves,Pedro Chaves dos Santos Filho,pedro chaves,PRB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5116.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5116
2207,0.00,0,0,0,15,14,13,15,11,14,13,16,0.00,0,0,0,1º Suplente,26,28,26,31,PB,raimundo.lira@senador.leg.br,775134.00,134113.47,181012.35,233258.66,226749.52,16/12/1943,2503704,Raimundo Lira,Raimundo Lira,raimundo lira,PSD,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador2207.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/2207
5012,0.00,0,0,0,22,30,35,34,15,13,13,17,11.00,12,12,6,Titular,37,43,48,51,AP,randolfe.rodrigues@senador.leg.br,1673092.34,484336.09,532351.48,450742.29,205662.48,06/11/1972,2606002,Randolfe Rodrigues,Randolph Frederich Rodrigues Alves,randolfe rodrigues,REDE,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012
5072,0.00,0,0,0,0,0,0,47,0,0,0,30,0.00,0,0,0,1º Suplente,0,0,0,77,RO,reditariocassol@senador.leg.br,11510.90,0.00,0.00,0.00,11510.90,07/04/1936,-1,Reditario Cassol,Reditario Cassol,reditario cassol,PP,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5072.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5072
5182,11.00,12,12,6,10,13,14,14,19,16,16,19,0.00,0,0,0,1º Suplente,29,29,30,33,PI,reginasousa@senadora.leg.br,1446637.27,471755.48,371565.86,396013.76,207302.17,04/07/1950,2211100,Regina Sousa,Maria Regina Sousa,regina sousa,PT,Feminino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5182.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5182
5236,0.00,0,0,0,0,0,0,0,10,9,10,8,0.00,0,0,0,Titular,10,9,10,8,DF,reguffe@senador.leg.br,3651.10,2130.17,513.93,823.59,183.41,05/09/1972,3304557,Reguffe,José Antônio Machado Reguffe,reguffe,S/Partido,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5236.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5236
70,0.00,0,0,0,23,20,25,26,18,18,20,25,11.00,12,12,6,Titular,41,38,45,51,AL,renan.calheiros@senador.leg.br,576559.07,60961.21,169921.25,245891.63,99784.98,16/09/1955,2705507,Renan Calheiros,José Renan Vasconcelos Calheiros,renan calheiros,MDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/70
635,8.25,2,0,0,10,9,0,15,16,15,0,16,0.00,9,12,5,Titular,26,24,0,31,ES,ricardo.ferraco@senador.leg.br,1101922.51,312679.06,301471.61,355877.25,131894.59,17/08/1963,3201209,Ricardo Ferraço,Ricardo de Rezende Ferraço,ricardo ferraco,PSDB,Masculino,Exercicio,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador635.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/635
